time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.476	0.818	0.003	107.708	1.502	81.133	1.791	0.000	0.000
0.478	0.818	0.003	107.545	1.507	80.921	1.768	0.000	0.000
0.480	0.818	0.003	107.385	1.506	80.710	1.744	0.000	0.000
0.482	0.818	0.003	107.229	1.502	80.491	1.720	0.000	0.000
0.485	0.818	0.003	107.080	1.496	80.267	1.701	0.000	0.000
0.487	0.818	0.003	106.937	1.493	80.045	1.685	0.000	0.000
0.489	0.818	0.003	106.787	1.486	79.834	1.663	0.000	0.000
0.491	0.818	0.003	106.634	1.477	79.633	1.640	0.000	0.000
0.493	0.818	0.003	106.483	1.468	79.437	1.620	0.000	0.000
0.495	0.818	0.003	106.331	1.457	79.252	1.599	0.000	0.000
0.497	0.818	0.003	106.178	1.445	79.070	1.580	0.000	0.000
0.499	0.818	0.003	106.026	1.429	78.883	1.564	0.000	0.000
0.501	0.818	0.003	105.882	1.417	78.699	1.553	0.000	0.000
0.504	0.818	0.003	105.736	1.406	78.516	1.542	0.000	0.000
0.506	0.818	0.003	105.594	1.396	78.341	1.532	0.000	0.000
0.508	0.818	0.003	105.455	1.385	78.167	1.523	0.000	0.000
0.510	0.818	0.003	105.334	1.373	78.012	1.513	0.000	0.000
0.512	0.818	0.003	105.213	1.362	77.863	1.511	0.000	0.000
0.514	0.818	0.003	105.100	1.351	77.722	1.515	0.000	0.000
0.516	0.818	0.003	104.994	1.343	77.586	1.526	0.000	0.000
0.518	0.818	0.003	104.889	1.335	77.456	1.536	0.000	0.000
0.521	0.818	0.003	104.786	1.321	77.342	1.542	0.000	0.000
0.523	0.818	0.003	104.682	1.307	77.229	1.550	0.000	0.000
0.525	0.818	0.003	104.588	1.289	77.128	1.554	0.000	0.000
0.527	0.818	0.003	104.494	1.271	77.031	1.560	0.000	0.000
0.529	0.818	0.003	104.398	1.254	76.942	1.559	0.000	0.000
0.531	0.818	0.003	104.299	1.239	76.862	1.553	0.000	0.000
0.533	0.818	0.003	104.198	1.224	76.781	1.546	0.000	0.000
0.535	0.818	0.003	104.091	1.207	76.712	1.514	0.000	0.000
0.537	0.818	0.003	103.983	1.191	76.643	1.483	0.000	0.000
0.540	0.818	0.003	103.861	1.179	76.586	1.444	0.000	0.000
0.542	0.818	0.003	103.735	1.169	76.533	1.402	0.000	0.000
0.544	0.818	0.003	103.602	1.162	76.476	1.360	0.000	0.000
0.546	0.818	0.003	103.456	1.162	76.419	1.314	0.000	0.000
0.548	0.818	0.003	103.306	1.164	76.362	1.269	0.000	0.000
0.550	0.818	0.003	103.146	1.173	76.289	1.240	0.000	0.000
0.552	0.818	0.002	102.985	1.185	76.216	1.213	0.000	0.000
0.554	0.818	0.002	102.810	1.197	76.137	1.187	0.000	0.000
0.557	0.818	0.002	102.631	1.212	76.058	1.163	0.000	0.000
0.559	0.818	0.002	102.453	1.225	75.979	1.141	0.000	0.000
0.561	0.818	0.002	102.260	1.233	75.896	1.115	0.000	0.000
0.563	0.818	0.002	102.065	1.243	75.814	1.090	0.000	0.000
0.565	0.818	0.002	101.872	1.253	75.731	1.077	0.000	0.000
0.567	0.818	0.002	101.678	1.264	75.638	1.068	0.000	0.000
0.569	0.818	0.002	101.476	1.267	75.544	1.060	0.000	0.000
0.571	0.818	0.002	101.264	1.262	75.449	1.058	0.000	0.000
0.573	0.818	0.002	101.053	1.258	75.353	1.051	0.000	0.000
0.576	0.818	0.002	100.843	1.252	75.253	1.042	0.000	0.000
0.578	0.818	0.002	100.633	1.248	75.155	1.034	0.000	0.000
0.580	0.818	0.002	100.425	1.242	75.054	1.025	0.000	0.000
0.582	0.818	0.002	100.219	1.234	74.953	1.016	0.000	0.000
0.584	0.818	0.002	100.015	1.232	74.855	1.014	0.000	0.000
0.586	0.818	0.002	99.810	1.232	74.762	1.016	0.000	0.000
0.588	0.818	0.002	99.603	1.237	74.670	1.021	0.000	0.000
0.590	0.818	0.002	99.401	1.236	74.576	1.026	0.000	0.000
0.592	0.818	0.002	99.196	1.234	74.480	1.032	0.000	0.000
0.595	0.818	0.002	98.984	1.236	74.391	1.035	0.000	0.000
0.597	0.818	0.002	98.771	1.238	74.306	1.033	0.000	0.000
0.599	0.818	0.002	98.557	1.240	74.223	1.031	0.000	0.000
0.601	0.818	0.002	98.340	1.244	74.144	1.027	0.000	0.000
0.603	0.818	0.002	98.134	1.239	74.061	1.021	0.000	0.000
0.605	0.818	0.002	97.939	1.227	73.977	1.019	0.000	0.000
0.607	0.818	0.002	97.750	1.205	73.895	1.015	0.000	0.000
0.609	0.818	0.002	97.557	1.183	73.821	1.006	0.000	0.000
0.612	0.818	0.002	97.365	1.173	73.754	0.986	0.000	0.000
0.614	0.818	0.002	97.183	1.166	73.696	0.975	0.000	0.000
0.616	0.818	0.002	96.999	1.165	73.643	0.964	0.000	0.000
0.618	0.818	0.002	96.816	1.167	73.591	0.954	0.000	0.000
0.620	0.818	0.002	96.637	1.165	73.539	0.946	0.000	0.000
0.622	0.818	0.002	96.444	1.156	73.495	0.937	0.000	0.000
0.624	0.818	0.002	96.249	1.153	73.452	0.926	0.000	0.000
0.626	0.818	0.002	96.051	1.154	73.409	0.914	0.000	0.000
0.628	0.818	0.002	95.852	1.156	73.365	0.905	0.000	0.000
0.631	0.818	0.002	95.654	1.157	73.324	0.899	0.000	0.000
0.633	0.818	0.002	95.457	1.155	73.285	0.894	0.000	0.000
0.635	0.818	0.002	95.262	1.143	73.239	0.892	0.000	0.000
0.637	0.818	0.002	95.069	1.130	73.189	0.893	0.000	0.000
0.639	0.818	0.002	94.877	1.118	73.143	0.892	0.000	0.000
0.641	0.818	0.002	94.710	1.107	73.106	0.886	0.000	0.000
0.643	0.818	0.002	94.556	1.106	73.073	0.883	0.000	0.000
0.645	0.818	0.002	94.402	1.109	73.046	0.881	0.000	0.000
0.647	0.818	0.002	94.248	1.114	73.018	0.880	0.000	0.000
0.650	0.818	0.002	94.097	1.120	72.989	0.881	0.000	0.000
0.652	0.818	0.002	93.946	1.130	72.944	0.894	0.000	0.000
0.654	0.818	0.002	93.794	1.139	72.895	0.904	0.000	0.000
0.656	0.818	0.002	93.641	1.152	72.847	0.911	0.000	0.000
0.658	0.818	0.002	93.489	1.166	72.799	0.919	0.000	0.000
0.660	0.818	0.002	93.339	1.179	72.751	0.922	0.000	0.000
0.662	0.818	0.002	93.189	1.186	72.701	0.921	0.000	0.000
0.664	0.818	0.002	93.040	1.187	72.650	0.922	0.000	0.000
0.667	0.818	0.002	92.893	1.184	72.598	0.924	0.000	0.000
0.669	0.818	0.002	92.746	1.181	72.545	0.928	0.000	0.000
0.671	0.818	0.002	92.601	1.178	72.486	0.929	0.000	0.000
0.673	0.818	0.002	92.453	1.171	72.422	0.920	0.000	0.000
0.675	0.818	0.002	92.308	1.158	72.355	0.916	0.000	0.000
0.677	0.818	0.002	92.163	1.145	72.286	0.915	0.000	0.000
0.679	0.818	0.002	92.020	1.131	72.215	0.915	0.000	0.000
0.681	0.818	0.003	91.881	1.117	72.139	0.913	0.000	0.000
0.683	0.818	0.003	91.747	1.100	72.064	0.910	0.000	0.000
0.686	0.818	0.003	91.612	1.086	71.989	0.907	0.000	0.000
0.688	0.818	0.003	91.476	1.073	71.915	0.905	0.000	0.000
0.690	0.818	0.003	91.341	1.061	71.838	0.903	0.000	0.000
0.692	0.818	0.003	91.212	1.049	71.764	0.901	0.000	0.000
0.694	0.818	0.003	91.083	1.039	71.690	0.900	0.000	0.000
0.696	0.818	0.003	90.954	1.031	71.616	0.901	0.000	0.000
0.698	0.818	0.003	90.826	1.023	71.541	0.901	0.000	0.000
0.700	0.818	0.003	90.699	1.015	71.466	0.904	0.000	0.000
0.703	0.818	0.003	90.572	1.008	71.384	0.910	0.000	0.000
0.705	0.818	0.003	90.446	0.999	71.302	0.915	0.000	0.000
0.707	0.818	0.003	90.321	0.988	71.222	0.915	0.000	0.000
0.709	0.818	0.003	90.197	0.977	71.149	0.916	0.000	0.000
0.711	0.818	0.003	90.073	0.965	71.079	0.915	0.000	0.000
0.713	0.818	0.003	89.946	0.949	71.009	0.909	0.000	0.000
0.715	0.818	0.003	89.818	0.937	70.939	0.904	0.000	0.000
0.717	0.818	0.003	89.689	0.927	70.869	0.902	0.000	0.000
0.719	0.818	0.003	89.561	0.918	70.794	0.901	0.000	0.000
0.722	0.818	0.003	89.435	0.915	70.718	0.896	0.000	0.000
0.724	0.818	0.003	89.312	0.914	70.643	0.886	0.000	0.000
0.726	0.818	0.003	89.189	0.914	70.569	0.872	0.000	0.000
0.728	0.818	0.003	89.068	0.916	70.494	0.858	0.000	0.000
0.730	0.818	0.003	88.948	0.917	70.421	0.845	0.000	0.000
0.732	0.818	0.003	88.837	0.919	70.348	0.840	0.000	0.000
0.734	0.818	0.003	88.734	0.925	70.274	0.840	0.000	0.000
0.736	0.818	0.003	88.630	0.934	70.200	0.844	0.000	0.000
0.738	0.818	0.003	88.526	0.944	70.128	0.847	0.000	0.000
0.741	0.818	0.003	88.424	0.956	70.058	0.852	0.000	0.000
0.743	0.818	0.003	88.325	0.980	69.994	0.855	0.000	0.000
0.745	0.818	0.003	88.223	1.004	69.930	0.859	0.000	0.000
0.747	0.818	0.003	88.125	1.026	69.863	0.865	0.000	0.000
0.749	0.818	0.003	88.029	1.052	69.795	0.871	0.000	0.000
0.751	0.818	0.003	87.921	1.051	69.727	0.870	0.000	0.000
0.753	0.818	0.003	87.806	1.029	69.662	0.866	0.000	0.000
0.755	0.818	0.003	87.690	1.010	69.602	0.860	0.000	0.000
0.758	0.818	0.003	87.573	0.994	69.544	0.854	0.000	0.000
0.760	0.818	0.003	87.456	0.980	69.483	0.850	0.000	0.000
0.762	0.818	0.003	87.344	0.972	69.421	0.850	0.000	0.000
0.764	0.818	0.003	87.235	0.958	69.355	0.849	0.000	0.000
0.766	0.818	0.003	87.130	0.942	69.291	0.850	0.000	0.000
0.768	0.818	0.003	87.025	0.925	69.227	0.852	0.000	0.000
0.770	0.818	0.003	86.922	0.910	69.166	0.850	0.000	0.000
0.772	0.818	0.003	86.832	0.900	69.107	0.846	0.000	0.000
0.774	0.818	0.003	86.747	0.896	69.045	0.841	0.000	0.000
0.777	0.818	0.003	86.663	0.894	68.982	0.835	0.000	0.000
0.779	0.818	0.003	86.581	0.892	68.915	0.833	0.000	0.000
0.781	0.818	0.003	86.496	0.889	68.847	0.834	0.000	0.000
0.783	0.818	0.003	86.408	0.884	68.779	0.841	0.000	0.000
0.785	0.818	0.003	86.320	0.876	68.711	0.850	0.000	0.000
