Position on the Arterial Tree,Frequency(Rad/s),QTA(m^3/s),PI
93,7.853981634,7.2474665E-006,6.678195753
94,7.853981634,7.23829125E-006,6.5208760424
95,7.853981634,7.22532E-006,6.3678840522
96,7.853981634,1.1965875E-006,2.642514651
97,7.853981634,1.20235E-006,2.2913461139
98,7.853981634,1.1877125E-006,1.9996421693
99,7.853981634,1.1943625E-006,1.6410428157
100,7.853981634,1.1805125E-006,1.3400959329
101,7.853981634,6.030314375E-006,7.412548869
102,7.853981634,5.940115E-006,6.5958318989
103,7.853981634,5.86335E-006,5.577016552
104,7.853981634,5.795375E-006,4.6640640166
105,7.853981634,5.7415125E-006,3.979787556
106,7.853981634,2.7005E-006,2.6172930939
107,7.853981634,2.690625E-006,2.2708478513
108,7.853981634,2.6815E-006,1.9690471751
109,7.853981634,0.000002672,1.6317365269
110,7.853981634,2.662625E-006,1.4008731984
111,7.853981634,3.0404125E-006,5.2131084187
112,7.853981634,3.0349E-006,5.064417279
113,7.853981634,3.03035E-006,4.9433233785
114,7.853981634,3.02619875E-006,4.7914896535
115,7.853981634,3.0185125E-006,4.6413589475
116,7.853981634,1.7924625E-007,8.6138482674
117,7.853981634,1.7856625E-007,8.2714398718
118,7.853981634,1.777825E-007,7.8635411247
119,7.853981634,1.77111875E-007,7.4529164123
120,7.853981634,1.7636625E-007,6.9797934696
121,7.853981634,2.84039E-006,4.3972834716
122,7.853981634,2.8273675E-006,3.9513788002
123,7.853981634,2.816479125E-006,3.6109623216
124,7.853981634,2.8035125E-006,3.2002710885
125,7.853981634,2.7905625E-006,2.838495823
126,7.853981634,1.1327925E-005,6.3736297689
127,7.853981634,1.1267365E-005,5.7644356067
128,7.853981634,1.121583625E-005,5.2853838696
129,7.853981634,1.116935E-005,4.8856916472
130,7.853981634,0.000011127,4.5600790869
131,7.853981634,7.993125E-005,2.6672922042
132,7.853981634,7.97825E-005,2.5933005358
133,7.853981634,7.966125E-005,2.5244394232
134,7.853981634,7.949875E-005,2.450352993
135,7.853981634,7.946125E-005,2.4036873319
136,7.853981634,0.00006608,2.6952179177
137,7.853981634,0.000066055,2.6629324048
138,7.853981634,6.600875E-005,2.6466188195
139,7.853981634,6.59825E-005,2.6112984503
140,7.853981634,6.593375E-005,2.57531234
141,7.853981634,1.334075E-005,1.3979723779
142,7.853981634,1.3339125E-005,1.3719040792
143,7.853981634,1.3336625E-005,1.3451679117
144,7.853981634,1.33305E-005,1.3120288061
145,7.853981634,1.33255E-005,1.2870061161
146,7.853981634,9.141125E-006,1.0053467161
147,7.853981634,9.139625E-006,0.9814407046
148,7.853981634,9.137375E-006,0.9685495014
149,7.853981634,9.1365E-006,0.9445630165
150,7.853981634,9.137125E-006,0.9313651723
151,7.853981634,4.183375E-006,2.0868318045
152,7.853981634,0.000004178,1.9028243179
153,7.853981634,4.172125E-006,1.735326722
154,7.853981634,4.166625E-006,1.6272162722
155,7.853981634,4.162125E-006,1.5160524972
156,7.853981634,2.7375E-006,1.103196347
157,7.853981634,2.73525E-006,1.0529202084
158,7.853981634,2.733375E-006,0.9987652627
159,7.853981634,2.731875E-006,0.9370853352
160,7.853981634,2.729875E-006,0.8938138193
161,7.853981634,6.396875E-006,0.8535417684
162,7.853981634,6.39375E-006,0.8164222874
163,7.853981634,6.390875E-006,0.7808007511
164,7.853981634,0.000006387,0.739001096
165,7.853981634,6.3845E-006,0.7236275354
166,7.853981634,1.635125E-005,1.4188517697
167,7.853981634,0.00001634,1.3463892289
168,7.853981634,0.000016325,1.280245023
169,7.853981634,1.630375E-005,1.2205780879
170,7.853981634,0.000016295,1.1721386929
171,7.853981634,4.9583875E-005,2.9991605134
172,7.853981634,4.9549875E-005,2.9770004465
173,7.853981634,4.9538875E-005,2.9732205263
174,7.853981634,4.9529375E-005,2.9487551579
175,7.853981634,0.000049525,2.9439676931
176,7.853981634,1.340425E-005,0.833317791
177,7.853981634,1.340225E-005,0.8237422821
178,7.853981634,1.339825E-005,0.8142854477
179,7.853981634,0.000013396,0.8047178262
180,7.853981634,1.3395125E-005,0.7958119092
181,7.853981634,3.6118875E-005,3.8013365588
182,7.853981634,3.612483625E-005,3.7926815516
183,7.853981634,3.610105E-005,3.7588934394
184,7.853981634,0.000036066,3.7270598282
185,7.853981634,3.608363625E-005,3.7188602354
186,7.853981634,1.3405625E-005,0.8488973845
187,7.853981634,1.339725E-005,0.8397245703
188,7.853981634,1.339525E-005,0.8308915474
189,7.853981634,0.000013396,0.821140639
190,7.853981634,0.000013392,0.8124253286
191,7.853981634,2.268031E-005,5.5378431776
192,7.853981634,2.25770625E-005,5.328416839
193,7.853981634,2.25069125E-005,5.1095413465
194,7.853981634,0.000022436,4.9384944612
195,7.853981634,2.235452875E-005,4.7766607471
196,7.853981634,2.2062125E-006,2.262701349
197,7.853981634,0.000002203,2.0744439401
198,7.853981634,2.19975E-006,1.9320377316
199,7.853981634,2.197125E-006,1.8114581555
200,7.853981634,2.194625E-006,1.7315031042
201,7.853981634,2.0147225E-005,5.0944981257
202,7.853981634,2.01257875E-005,5.0656402886
203,7.853981634,2.011221875E-005,5.0372363815
204,7.853981634,2.010008875E-005,5.0079380868
205,7.853981634,2.0089275E-005,4.9832559911
206,7.853981634,1.0045675E-005,4.9852299621
207,7.853981634,0.000010027,4.9117162634
208,7.853981634,0.00001001,4.8461659495
209,7.853981634,9.9906625E-006,4.7824656273
210,7.853981634,9.97558375E-006,4.7094988301
211,7.853981634,1.0044335E-005,4.980917104
212,7.853981634,1.00227375E-005,4.9098362598
213,7.853981634,1.000568625E-005,4.8452448726
214,7.853981634,9.9913375E-006,4.77913993
215,7.853981634,9.97505375E-006,4.7067415552
216,7.853981634,8.07128E-006,5.0326590082
217,7.853981634,0.00000804,4.8954995546
218,7.853981634,8.0114775E-006,4.734457533
219,7.853981634,7.97916875E-006,4.566891758
220,7.853981634,7.95281375E-006,4.3229982596
